Rank,Category,Asset,Project,Chain,Symbol,TVL,APY
1,Lending,BTC,morpho-blue,Base,CBBTC,2387179924.0,0.0
2,Lending,Stable,morpho-blue,Base,STEAKUSDC,465826868.0,4.51123
3,Lending,Stable,morpho-blue,Base,GTUSDCP,372434990.0,4.51177
4,Lending,BTC,aave-v3,Base,CBBTC,143770289.0,0.0291
5,Lending,ETH,morpho-blue,Base,WETH,129445739.0,0.0
6,Dexs,LPETH,uniswap-v3,Base,WETH-USDC,127966627.0,29.40505
7,Yield,Stable,multipli.fi,Base,RWAUSDI,112748311.0,3.888
8,Lending,Stable,suilend,Sui,USDC,80000000.0,5.5
9,Yield,Stable,grove-finance,Base,sUSDS,78980000.0,3.75
10,Lending,XRP,morpho-blue,Base,CBXRP,71713445.0,0.0
11,Lending,ETH,aave-v3,Base,WEETH,68615664.0,5e-05
12,Risk Curators,Stable,gauntlet,Base,GTUSDA,66789270.0,4.36174
13,Liquid Staking,SUI,springsui,Sui,sSUI,62390000.0,6.0
14,Yield,Stable,afi-protocol,Base,afiUSD,60000000.0,8.07
15,Lending,ETH,morpho-blue,Monad,STEAKETH,57170861.0,3.13922
16,Yield,Stable,multipli-fi,Monad,rwaUSD,51600000.0,12.0
17,Yield,Stable,afi-protocol,Monad,afi-rwaUSDi,49980000.0,12.1
18,Lending,ETH,morpho-blue,Monad,WSTETH,48986232.0,0.0
19,Lending,SUI,suilend,Sui,SUI,45000000.0,4.9
20,Lending,BTC,curvance,Monad,EBTC,42052481.0,0.00031
21,Lending,Stable,alphalend,Sui,USDC,40000000.0,5.0
22,Yield,Stable,afi-protocol,Base,afi-rwaUSDi,39980000.0,12.1
23,Liquid Staking,SUI,haedal-protocol,Sui,haSUI,39730000.0,3.21
24,Lending,Stable,morpho-blue,Base,PUSDC,38324898.0,4.51054
25,CDP,SUI,bucket-protocol,Sui,BUCK,37980000.0,0.0
26,Yield,ETH,k3-capital,Monad,WETH,36450000.0,0.0
27,Lending,ETH,aave-v3,Base,WSTETH,35550032.0,0.00046
28,Lending,Stable,aave-v3,Base,USDC,35187481.0,2.93193
29,Lending,Stable,curvance,Monad,VUSD,34676858.0,0.0
30,Lending,BTC,navi-lending,Sui,ENZOBTC,33665194.0,0.0
31,Onchain Capital Allocator,Stable,upshift,Monad,EARNAUSD,32631429.0,5.57551
32,Yield,Stable,hyperithm,Monad,USDC,32560000.0,6.69
33,Lending,ETH,suilend,Sui,WETH,28930000.0,2.8
34,Lending,SUI,alphalend,Sui,SUI,27160000.0,4.5
35,Dexs,LPAERO,aerodrome-v1,Base,USDC-AERO,26659936.0,20.88521
36,Dexs,LPETH,aerodrome-slipstream,Base,WETH-MSETH,26457864.0,1.81181
37,Lending,ETH,aave-v3,Base,WETH,25140608.0,1.7065
